Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,27.2911430000,µg/m3,2023-01-02 00:00:00 +01:00,2023-01-02 01:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,24.7657130000,µg/m3,2023-01-02 01:00:00 +01:00,2023-01-02 02:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,24.4486370000,µg/m3,2023-01-02 02:00:00 +01:00,2023-01-02 03:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,23.2902830000,µg/m3,2023-01-02 03:00:00 +01:00,2023-01-02 04:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,20.6761550000,µg/m3,2023-01-02 04:00:00 +01:00,2023-01-02 05:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,21.2301040000,µg/m3,2023-01-02 05:00:00 +01:00,2023-01-02 06:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,24.2595620000,µg/m3,2023-01-02 06:00:00 +01:00,2023-01-02 07:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,28.7649770000,µg/m3,2023-01-02 07:00:00 +01:00,2023-01-02 08:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,31.6898080000,µg/m3,2023-01-02 08:00:00 +01:00,2023-01-02 09:00:00 +01:00,3,3
IT,IT.ISPRA.AQD,NET.IT082A,STA.IT0761A,IT0761A,SPO.IT0761A_8_chemi_1991-10-01_00:00:00,SPP.IT0761A_8_chemi_1991-10-01_00:00:00,SAM.IT0761A_8_chemi_1991-10-01_00:00:00,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,30.4199200000,µg/m3,2023-01-02 09:00:00 +01:00,2023-01-02 10:00:00 +01:00,3,3
